기업명,RIM기업가치,매출액증가율,순이익증가율,유동비율,순운전자본비율,부채비율,자기자본비율,매출총이익률,ROA,ROI,총자산회전율
기업은행,352463.1953,0.44230393,0.14629622,1.07225821,0.067388815,13.83925786,0.067388815,0.510081466,0.008738374,0.00643734,0.029012706
카카오뱅크,33061.39431,0.646183206,0.289073983,1.169080796,0.144627127,5.914332208,0.144627127,0.577092511,0.008938129,0.006658046,0.032743616
카카오페이,6878.032138,0.137592673,-1.790560472,2.586175326,0.416028816,0.745886175,0.572775026,0.271228675,-0.013657512,0.008044424,0.156596128
NAVER,92494.54759,0.205717555,-0.959144536,1.174980842,0.02828992,0.445567861,0.691769669,0.27741755,0.038487861,0.019858993,0.242487979
삼성카드,78797.47837,0.029320468,0.129196153,1.363007679,0.266328418,2.754762659,0.266328418,1,0.028656593,0.021007184,0.092910287
신한지주,580785.4017,0.365690496,0.150658951,1.081840866,0.075649634,12.21883459,0.075649634,0.591863223,0.008711698,0.007001494,0.02975169
신세계,52578.06922,0.236907099,0.408074055,0.547165921,-0.153062362,1.295083016,0.435714087,0.125217592,0.044980625,0.038164534,0.544506705
제주은행,2838.516687,0.385116784,0.239130435,1.076752225,0.071281232,13.02644185,0.071294892,0.48,0.003688373,0.003114626,0.034834638
푸른저축은행,2535.6267,0.220113852,-0.172839506,1.281451833,0.219635125,3.553005818,0.219635125,0.709175739,0.018669695,0.014268474,0.045644921
DB손해보험,108683.7874,0.061576009,0.13185932,1.092516461,0.084681983,10.80888734,0.084681983,0.076620667,0.020669307,0.015318637,0.269761507
롯데손해보험,-4824.252163,0.027528584,-1.526271893,1.025667727,0.025025382,38.95942934,0.025025382,-0.032739878,-0.004267592,-0.003520066,0.130348436
한화손해보험,6555.213844,0.046106457,1.309799789,1.013293364,0.013118969,75.22550486,0.013118969,0.038278779,0.01205434,0.010754218,0.314909212
하나금융지주,452967.3548,0.460924776,0.011056511,1.0704085,0.065777224,14.20283066,0.065777224,0.574638147,0.008244895,0.006365566,0.027908856
우리금융지주,409208.2435,0.481045408,0.184013678,1.070463416,0.065825151,14.19176155,0.065825151,0.611443584,0.009221095,0.006918163,0.030500064
메리츠금융지주,122726.665,0.540601307,0.185945633,1.068615332,0.064209571,14.57400225,0.064209571,1.430729025,0.023727538,0.017684881,0.03176465
DGB금융지주,49085.66625,0.35707276,-0.211989888,1.073236856,0.068239229,13.65432735,0.068239229,0.588601928,0.006671743,0.004795041,0.031908336
BNK금융지주,103001.2621,0.346199324,0.028889954,1.085879235,0.07908728,11.64425838,0.07908728,0.560491039,0.008461199,0.0062665,0.034911482
KB금융,548191.4413,0.366684417,-0.048170787,1.076194588,0.07080001,13.12429169,0.07080001,0.633845636,0.00804212,0.00595176,0.029648268
한국금융지주,80212.33004,0.391270553,-0.637424912,1.098034676,0.089281949,10.20060475,0.08928079,0.753534746,0.006323819,0.007412935,0.026960233
JB금융지주,77850.30408,0.329858918,0.176817663,1.086497461,0.079611287,11.56103296,0.079611287,0.612025968,0.013802856,0.010334591,0.042224235
롯데지주,21284.03461,0.42186823,1.238031915,0.911178826,-0.024712068,1.270614255,0.440411447,0.071138543,0.022087538,0.015178982,0.636376345
롯데정보통신,3734.28801,0.12655914,-0.181556196,1.318574514,0.101502466,0.920704846,0.520701915,0.025102606,0.039339374,0.032572543,1.201628627
